name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url
AK Scaffolding Services Ltd,Midlands & South — Trades,Scaffolder,"Kingswood, Bristol BS15",akscaffolding@hotmail.co.uk,,"Nextdoor page + Companies House record (A K Scaffolding Services Limited, inc. 2019); no website of its own found - akscaffoldingservices.co.uk belongs to a similarly named North East firm (0191 number)","Nextdoor snippet shows contact 'akscaffolding@hotmail.co.uk'; registered ltd company at 339 Two Mile Hill Road, Kingswood BS15 1AN with no matching domain",Six-plus years as a limited company doing domestic and commercial scaffold - real revenue - yet a namesake firm owns 'their' domain and captures their search traffic; strong commercial pain point,ltd company,https://nextdoor.co.uk/pages/ak-scaffolding-services-ltd-bristol-england/
J&J Clark Roofing,Midlands & South — Trades,Roofer,"Waterlooville / Portsmouth, Hampshire",jandjclarkroofing@outlook.com,07934852224,Nextdoor page + MyBuilder profile; searches confirm no dedicated website,"Nextdoor snippet: 'family run roofing company with contact via mobile 07934852224 and email jandjclarkroofing@outlook.com'; follow-up search found only Nextdoor and MyBuilder profiles, no standalone site","Family roofing firm paying-grade trade (high job values), already investing effort in MyBuilder leads; owning a site would cut lead-platform commission dependence - a clear ROI pitch",sole trader,https://nextdoor.co.uk/pages/joshua-clark-waterlooville-england/
JME Carpentry And Joinery,Midlands & South — Trades,Joiner / carpenter,"Whitbourne, Worcester (Worcestershire)",Jme.carpentryandjoinery@gmail.com,,Nextdoor business page (with recommendations); no website found,"Nextdoor listing snippet shows contact 'Jme.carpentryandjoinery@gmail.com' - business-named gmail, no domain; page has a recommendations tab indicating real customer activity","Has customer recommendations proving trading history but nothing to point new customers at beyond Nextdoor; bespoke joinery is portfolio-led, ideal for a gallery site",sole trader,https://nextdoor.co.uk/pages/jme-carpentry-and-joinery-whitbourneworcester-england/recommendations/
MLA Plumbing and Heating Services,Midlands & South — Trades,Plumber / heating engineer,"Derby, Derbyshire",mlagasservices@gmail.com,,Nextdoor business page only; no website found,Nextdoor snippet: 'MLA Plumbing and Heating Services in Derby with contact mlagasservices@gmail.com' - gas business running on gmail,"Gas/heating work implies Gas Safe registration and boiler installs (GBP 2-3k jobs); customers verify heating engineers online before booking, so lack of a site is directly costing installs",sole trader,https://nextdoor.co.uk/pages/mla-plumbing-and-heating-services-derby-england/
OMC Design Construction,Midlands & South — Trades,Builder / general construction,"Leicester, Leicestershire",omcdesignconstruction@gmail.com,,Nextdoor business page only; no website found,"Nextdoor snippet: 'OMC Design Construction with contact omcdesignconstruction@gmail.com offering plumbing and tiling work' - business-named gmail, no domain",Positions itself as 'design construction' (renovation-level work) which clients expect to vet visually online; already brand-conscious enough to register a business-named email,unknown,https://nextdoor.co.uk/pages/omc-design-construction-leicester-england/
Mark Seeney Roofing Services,Midlands & South — Trades,Roofer,"26 Shipley Grove, Birmingham B29 5DL",seeneyboy@talktalk.net,07863 119 298,"Directory listings only (Cylex, Firmania, TouchLocal, chamberofcommerce.uk) plus Nextdoor page with 27 neighbour recommendations; no own website","Directory search snippets list 'Email: seeneyboy@talktalk.net', phones 07863 119 298 / 01214766062; described as '26 year experienced and qualified roofing specialist' - legacy talktalk address, no site",26 years' trading and 27 Nextdoor recommendations prove sustained revenue; his reputation lives scattered across directories he doesn't control - consolidating it on an owned site is an easy sell,sole trader,https://birmingham.cylex-uk.co.uk/company/mark-seeney-roofing-services-27215427.html
Jan B Builders,Midlands & South — Trades,Builder,"58 Lockley Street, Stoke-on-Trent ST1 6PQ",,07904 105649,Nextdoor business page only; no website found,Nextdoor snippet lists phone '07904 105649' and street address but no email and no website link - phone-and-word-of-mouth operation,General builder with fixed premises taking on extension-scale work; entirely dependent on Nextdoor visibility in a city where competitors have sites - clear upgrade path,sole trader,https://nextdoor.co.uk/pages/jan-b-builders-stoke-on-trent-england/
The Plumbing People,Midlands & South — Trades,Plumber,"Selly Oak area, Birmingham B29 6QE",,07515 531288,Nextdoor business page only; no website found,"Nextdoor snippet lists 'Phone: 07515 531288, Postcode: B29 6QE' with no email or website shown","Strong generic brand name wasted without a domain; emergency plumbing searches in Birmingham are high-volume and mobile-first, so even a one-page site with click-to-call would win jobs",sole trader,https://nextdoor.co.uk/pages/the-plumbing-people/
Sackett Roofing,Midlands & South — Trades,Roofer,"Hucknall, Nottingham",,07976 272085,Nextdoor business page only; no website or email found,"Nextdoor snippet lists phone '07976 272085' only; searches for the name return no website, just the Nextdoor listing",High-ticket trade with zero owned presence in a commuter-town market (Hucknall) where roof repairs are found via Google; a site plus review embeds would immediately differentiate,sole trader,https://nextdoor.co.uk/pages/sackett-roofing-hucknallnottingham-england/
DG Plumbing And Heating,Midlands & South — Trades,Plumber / heating engineer,"Birmingham, West Midlands",,07725 721389,Nextdoor business page only; no website found,Nextdoor snippet lists 'Phone: 07725 721389' with no email or website shown on the listing,Plumbing-and-heating covers boiler work with strong job values; mobile-only contact and no web presence in the UK's second city means it is leaving search demand entirely to competitors,sole trader,https://nextdoor.co.uk/pages/dg-plumbing-and-heating-birmingham-england/
Brookfield Guest House,North England — Hospitality,Bed & breakfast / guest house,"Penrith Road, Keswick, Cumbria (Lake District)",info@brookfield-keswick.co.uk,017687 72867,"Own domain brookfield-keswick.co.uk but a mid-2000s build: separate '/mobile/*.php' mobile pages (map-directions.php, info-rates.php, gallery.php) still indexed, keyword-stuffed titles like 'Keswick Guest House Image Gallery | Brookfield Bed & Breakfast B&B Accommodation'. Availability handled off-site via stay.keswick.org. Also on Facebook and TripAdvisor.","Legacy PHP site with a dedicated 'mobile version' (a pre-responsive-design pattern), no on-site booking engine, and third-party availability pages that outrank their own site in search.","Owner-run B&B (Lorna and Simon) in a town where guests book online; every stay routed through OTAs or third-party engines costs 12-15% commission, so a modern responsive site with direct booking pays for itself in a handful of room-nights.",sole trader,https://www.brookfield-keswick.co.uk/
Skiddaw Grove Guest House & Apartments,North England — Hospitality,Guest house / self-catering apartments,"Vicarage Hill, Keswick, Cumbria (Lake District)",info@skiddawgrove.co.uk,017687 73324,"Own domain skiddawgrove.co.uk but old static HTML pages (skiddawgrove.html, guesthouse.html, squirrelbank.html) mixed with newer pages; availability outsourced to stay.keswick.org.","Static 2000s-era .html architecture, inconsistent page structure, no integrated booking engine — direct bookings depend on phone/email while OTA and keswick.org listings take the online demand.","Runs both B&B rooms and self-catering apartments (higher-value, longer stays), so recovering even a few direct apartment bookings from commission channels justifies a rebuild with online booking.",unknown,https://www.skiddawgrove.co.uk/contact/
Linnett Hill Bed and Breakfast,North England — Hospitality,Bed & breakfast,"4 Penrith Road, Keswick, Cumbria (Lake District)",info@linnetthillkeswick.co.uk,,"Own domain linnetthillkeswick.co.uk with dated '::'-separator title tags ('Linnett Hill Bed and Breakfast Keswick :: Contact Us'), pages served inconsistently over http and https, and a duplicate legacy domain (linnetthillhotel.com) still live and indexed.","Old CMS template, split/duplicate domains diluting their SEO, insecure http pages, no modern booking journey — classic signs of a site untouched for years.","Keswick B&Bs compete head-on with Booking.com listings for the same guests; consolidating two stale domains into one fast, secure site with direct booking is an easy commission-saving pitch.",unknown,https://linnetthillkeswick.co.uk/contact-us
Cragside Guest House,North England — Hospitality,Bed & breakfast / guest house,"39 Blencathra Street, Keswick, Cumbria (Lake District)",cragside-keswick@hotmail.com,,Small brochure site at cragside-keswick.co.uk; public contact email is a Hotmail address; availability/booking handled by the third-party stay.keswick.org engine; also listed on keswick.org with a 'Book Now' redirect.,"Hotmail contact address on their own domain, no on-site booking, reliant on the town directory's booking system and OTAs for online reservations.",24 years trading and dependent on commissionable third-party channels for online bookings — a modern site with its own booking engine and a professional email address directly recovers margin.,sole trader,https://www.cragside-keswick.co.uk/contact-us/
Goodwin House B&B,North England — Hospitality,Bed & breakfast,"29 Southey Street, Keswick, Cumbria (Lake District)",enquiries@goodwinhouse.co.uk,,"Own domain goodwinhouse.co.uk with keyword-stuffed, near-identical title tags on every page ('Keswick B&B Lake District bed breakfast - en-suite rooms'), an old-school 'Rates & Availability' page rather than live booking.",SEO-spam-era title tags repeated site-wide and a rates page instead of a real-time booking engine indicate a dated build that leaks bookings to OTAs.,Owner-run (Chris & Liz) B&B in a saturated Keswick market; a rebuild with proper page titles and direct booking converts their existing search traffic instead of sending it to Booking.com.,sole trader,https://www.goodwinhouse.co.uk/contact-us/
Claremont House,North England — Hospitality,Bed & breakfast / guest house,"Chestnut Hill, Keswick, Cumbria (Lake District)",info@claremonthousekeswick.co.uk,,Own domain claremonthousekeswick.co.uk (basic template) with a legacy 'claremont-availability.html' page; live availability and booking outsourced to stay.keswick.org.,No native booking engine — guests are handed off to a third-party directory system to book; mixed legacy .html pages inside the site.,New-ish owners (took over 2019) with five lettable units including a premium suite ('The Nook'); direct-booking capture on higher-rate rooms makes agency fees straightforward to justify.,sole trader,https://claremonthousekeswick.co.uk/map-contact-details/
Lane Head Farm Country Guest House,North England — Hospitality,Country guest house / B&B,"Troutbeck, near Keswick, Cumbria (Lake District)",kansagra.suruchi@gmail.com,017687 79220,"Has laneheadfarm.co.uk, but the public contact shown on the Keswick tourism directory is the owner's personal Gmail; online demand is dominated by Booking.com plus a swarm of commission/scraper booking clones (hotels-lake-district.com, cumbriahotelsweb.com, LateRooms, Yelp) that outrank the own site.",Personal Gmail as the published business contact and OTA/affiliate domains capturing their brand searches — direct-booking leakage on a 7-room property.,Seven en-suite rooms at £109+ a night: even two OTA bookings a week at ~15% commission is £150+/week lost — a strong ROI story for a site rebuild focused on brand-search capture and direct booking.,sole trader,https://stay.keswick.org/Availability/lane-head-farm-country-guest-house.html
Glenville House (Adults Only),North England — Hospitality,Bed & breakfast / guest house,"44 Lake Road, Windermere, Cumbria (Lake District)",jayne.hellmann@btinternet.com,,"No effective website of its own in search results — presence is a Facebook page (facebook.com/glenvillehouse) plus Booking.com, Trip.com and Frommers listings; owner Jayne Hellmann (confirmed via her LinkedIn 'Business Owner - Glenville House') uses a personal btinternet.com address.",OTA-and-Facebook-only online presence for a well-reviewed Windermere guest house; brand searches land on Booking.com's commissionable page.,"Adults-only B&B on Windermere's main strip with strong reviews — every booking currently flows through Booking.com at 15%+ commission, so a direct-booking website has an immediate, measurable payback.",sole trader,https://www.linkedin.com/in/jayne-hellmann-48696868/
North Bay Guest House,North England — Hospitality,Guest house / B&B,"137 Columbus Ravine, Scarborough, North Yorkshire",enquiries@northbayguesthouse.co.uk,01723 374406,"Basic brochure site at northbayguesthouse.co.uk with no online booking; relies on Facebook pages and paid directory adverts (touristnetuk.com advert, visitnorthyorkshire listing) plus OTA affiliate clones (scarborough-hotels.co.uk) for visibility.",No booking engine on their own site while commission-charging affiliate domains sell their rooms ('season deals from £82'); duplicated Facebook pages suggest DIY digital management.,Eight rooms run by owners Gillian and John near Scarborough's Open Air Theatre; capturing direct bookings from event-driven demand instead of paying OTA commission is a clear seasonal revenue win.,sole trader,https://www.northbayguesthouse.co.uk/
Rose Dene,North England — Hospitality,Bed & breakfast / guest house,"106 Columbus Ravine, Scarborough, North Yorkshire",gillian@rose-dene.co.uk,01723 374252,Own domain rose-dene.co.uk but with the phone number stuffed into the homepage title tag ('Scarborough Bed and Breakfast And Guest House | Rose Dene 01723 374252') and keyword-stuffed titles on inner pages — hallmarks of an old SEO-template build.,"Dated keyword/phone-stuffed title tags and no visible booking engine; distribution leans on directory listings (visitnorthyorkshire, englandscoast) and Facebook.","Eight-bedroom mother-and-son-run B&B — enough volume that OTA commission is material, and a modern site with direct booking plus clean local SEO protects their strong review base.",sole trader,https://www.rose-dene.co.uk/contact
The Sandbeck Seafront Guest House,North England — Hospitality,Guest house (23 rooms),"1-2 Crescent Terrace, West Cliff, Whitby, North Yorkshire",thesandbeck@googlemail.com,01947 604012,"Own domain thesandbeckwhitby.co.uk but a dated PHP build (pages like /classic.php) with keyword-stuffed titles ('Bed and Breakfast Whitby Boutique Guest House Accommodation Whitby North Yorkshire'); public email is a googlemail.com address; affiliate booking clones (northyorkshirehotels.net, yorkshire-hotel.com) rank against them.","Legacy .php site, spammy title tags, free googlemail contact address, and commission affiliates intercepting brand searches for a 23-room seafront property.","At 23 rooms (17 sea-view) they are one of the larger independents on Whitby's West Cliff — commission leakage at that scale is thousands per year, dwarfing the cost of a professional rebuild.",sole trader,https://www.thesandbeckwhitby.co.uk/
The Little Angel,North England — Hospitality,Pub,"18 Flowergate, Whitby, North Yorkshire",thelittleangel@gmail.com,,Free Wix subdomain only (thelittleangelwhit.wixsite.com/thelittleangels) plus directory listings such as Route YC; contact email is a generic Gmail address.,No owned domain at all — a free-builder subdomain with a Gmail contact is the entire web presence for a town-centre pub in one of Yorkshire's busiest tourist towns.,"Flowergate is prime Whitby footfall; a proper domain with menus, events and room/food promotion would convert tourist search traffic that currently finds only third-party listings.",unknown,https://www.routeyc.co.uk/places/the-little-angel
Mimmo's,North England — Hospitality,Italian café / takeaway,"8 Queen Street, Baildon, West Yorkshire",mimmosbaildon@hotmail.com,07890 935960,"Facebook page plus a free Wix subdomain (mimmosbaildon.wixsite.com/mimmos); Hotmail contact address and a mobile number; otherwise only scraper directories (Restaurantji, Sluurpy, Wheree) represent them online.","No owned domain, no online ordering — eat-in/takeaway orders depend on phone and Facebook while aggregator sites publish outdated menus they don't control.",Family-run Italian takeaway with strong reviews; direct online ordering (vs commission platforms) and a controlled menu page are immediate revenue and margin gains.,sole trader,https://www.facebook.com/mimmosbaildon/
The Seahorse Bed and Breakfast,North England — Hospitality,Bed & breakfast (12 rooms),"Blyth, Northumberland",kevinwilsonseahorse@gmail.com,,Old static-HTML site at seahorseblyth.com (pages like /rooms.html) with the owner's personal Gmail address published as the booking contact.,2000s-style static site with no booking engine and a personal Gmail for reservations across 12 hotel-style rooms — bookings otherwise flow through OTAs.,"Twelve rooms serving Blyth's contractor and coastal-visitor trade; even modest direct-booking recovery from Booking.com commission covers a rebuild quickly, and a modern site wins the growing Northumberland coast tourism traffic.",sole trader,https://seahorseblyth.com/rooms.html
The Secret Sandwich - Coffee House & Sandwich Bar,North England — Hospitality,Café / sandwich bar,"44 Crumpsall Lane, Crumpsall, Manchester M8 5FB",thesecretsandwich@hotmail.com,0161 720 9009,"Minimal one-page site at thesecretsandwich.co.uk with no online ordering; public contact is a Hotmail address; most detail about them lives on Facebook and scraper directories (InTravel, Thatsup, NeoTaste).","Hotmail business email, no e-commerce/click-and-collect on a takeaway-led café, and third-party sites controlling their menu and hours information.",4.7-rated neighbourhood café with heavy takeaway trade — click-and-collect ordering on their own site avoids delivery-app commission and captures repeat lunch orders.,sole trader,https://intravel.net/manchester/restaurants-cafes/the-secret-sandwich
YourThai Cafe,North England — Hospitality,Thai restaurant / takeaway,"323 Prescot Road, Old Swan, Liverpool L13 3BS",,0151 378 0639,"Free Wix subdomain only (yourthaicafe.wixsite.com/liverpool) plus Yelp, Yell and TripAdvisor listings; no owned domain, no online ordering or booking.",Entire owned web presence is a free wixsite.com subdomain; takeaway orders and table bookings rely on phone and third-party reservation aggregators.,Established Thai eat-in/takeaway in a busy Liverpool suburb — commission-free online ordering and a real domain would convert search demand currently monetised by aggregators and delivery platforms.,unknown,https://yourthaicafe.wixsite.com/liverpool
MRKT Café,North England — Hospitality,"Café (market hall, with evening Mediterranean menu)","Chester Market, 6 Princess Street, Chester, Cheshire",,07817 976111,"Free Wix subdomain (chestermrktcafe.wixsite.com/mrkt-cafe) plus Facebook, Instagram and the Chester Market trader page; contact is a mobile number; no owned domain.","Trading since 2002 but still on a free site builder with no domain, no online ordering; scraper sites (Wheree, Sluurpy) outrank their own page.",Their move to Chester's high-footfall New Market and new evening mezze/kebab offer needs bookable tables and a findable menu — a proper site directly drives the higher-margin evening trade.,unknown,https://chestermrktcafe.wixsite.com/mrkt-cafe
Stage Door Cafe,North England — Hospitality,Café (breakfast and lunch),"78 Northgate Street, Chester CH1 2HT",,01244 320425,Basic Wix build: a free wixsite.com subdomain (stage-door-cafe.wixsite.com/menu) still live and indexed alongside stagedoorcafechester.com; Facebook page and TripAdvisor carry most of their information; no online ordering.,"Duplicate free-builder subdomain splitting their search presence, template menu-only site, no click-and-collect for a takeaway-heavy city-centre café.","Sits on Chester's tourist spine next to the Town Hall and cathedral — a consolidated, professional site with ordering would monetise walk-by search traffic they currently lose to better-presented neighbours.",unknown,https://stage-door-cafe.wixsite.com/menu
The Village Tearooms Alnmouth,North England — Hospitality,Tearoom / café,"58 Northumberland Street, Alnmouth, Northumberland NE66 2RS",,01665 830310,"No website found — presence is a Facebook page, TripAdvisor, Groupon and dogfriendly.co.uk listings only, despite being an incorporated business (The Village Tearooms Alnmouth Ltd, company 13440644).",A limited company in a premier Northumberland coast village with zero owned web presence; visitors researching Alnmouth find only third-party review sites.,"Alnmouth's tourism is booming (coast path, AONB) and afternoon-tea bookings are pre-planned purchases — a simple site with booking/enquiry capture converts that intent; incorporation signals a business-minded owner with budget.",ltd company,https://www.tripadvisor.com/Restaurant_Review-g315984-d4593298-Reviews-The_Village_Tearooms_Alnmouth-Alnmouth_Alnwick_Northumberland_England.html
Cafe Maelmin,North England — Hospitality,Café,"Main Road, Milfield, near Wooler, Northumberland NE71 6JD",,01668 216323,"Very dated site at cafemaelmin.co.uk built on an old CMS (URLs like /index.php?page=contact-us), with orders taken by phone (07874 893650) or via their Facebook page; otherwise represented by Yell, Thomson Local and Cylex directory pages.","Legacy query-string PHP site with no online ordering — the café itself directs customers to phone or Facebook to order, showing the site doesn't do its job.",Sits on the A697 route into the Cheviots/Wooler walking country where passing trade researches stops in advance; a modern site with menu and pre-ordering would lift covers and takeaway orders at minimal ongoing cost.,sole trader,http://www.cafemaelmin.co.uk/index.php?page=contact-us
Rob Nutbourne Barber,South England & Scotland — Beauty & Wellness,Barber,"164 Windermere Avenue, Southampton",robnutbournebarber@gmail.com,,Facebook page only (facebook.com/Nutbournebarber); no website found in searches,Search for 'Rob Nutbourne barber Southampton website booking' returns only his Facebook page and third-party directories — no own domain or booking system; email robnutbournebarber@gmail.com shown in Facebook search snippet,"Appointment-based solo barber competing against Southampton shops (BarberLab, Dojo) that all have booking sites; a simple site with online booking directly protects his diary",sole trader,https://www.facebook.com/Nutbournebarber/
Chi Nails Spa,South England & Scotland — Beauty & Wellness,Nail salon,"43 Baker Street, Brighton BN1 4JN",chinails2022@gmail.com,01273 692283,Facebook + Instagram (@chinails22) + Treatwell marketplace listing; no own website found,Website search confirmed 'no dedicated official website — primarily social media and third-party booking platforms like Treatwell'; paying Treatwell commission on bookings; email chinails2022@gmail.com shown in Facebook search snippet,"Registered ltd company (CHI NAILS SPA LTD, Companies House 14428803) with fixed premises paying marketplace commission — own booking site cuts Treatwell fees",ltd company,https://www.facebook.com/p/Chi-Nails-Spa-100087335582624/
The Nail Spa Brighton,South England & Scotland — Beauty & Wellness,Nail salon,"45 George Street, Kemptown, Brighton BN2 1RJ",thenailspabrighton@gmail.com,01273 046301,Facebook page + Instagram (@thenailspa.brighton); booking only via generic third-party app link (appbooking.vdit.co.uk); no own domain,Search shows no own website — booking runs through an unbranded appbooking.vdit.co.uk URL; 4.9 stars from 101 reviews on nailsalondirect.com; email shown in Facebook search snippet,"Strong review base (101 reviews, 4.9) proves demand; a branded site with integrated booking converts search traffic they currently lose to Brighton competitors with real sites",unknown,https://www.facebook.com/p/The-Nail-Spa-Brighton-61571057366065/
Eh Hair Salon,South England & Scotland — Beauty & Wellness,Hair salon,"104 High Street, Staple Hill, Bristol BS16 5HL",eandhhairsalon@gmail.com,07340 363486,Facebook + Instagram (@eandh_hairsalon_bristol) + Fresha listing; bookings via WhatsApp/Signal; no own website,"Website search returned only Facebook, Instagram and Fresha — appointments taken over WhatsApp/Signal messages; email eandhhairsalon@gmail.com shown in Facebook search snippet",Fixed-premises salon relying on Fresha (commission) and manual WhatsApp booking; a site with booking removes admin and marketplace fees,sole trader,https://www.facebook.com/ehhairsalonbristol/
Emily Lynch - Tattoo,South England & Scotland — Beauty & Wellness,Tattoo artist,"16 Candlewick Lane, Plymouth",Tattoosbyemilylynch@gmail.com,+44 7874 949548,"Facebook page + Instagram (@emilyxlynch, 3,300+ followers); no website or booking system","Booking search confirmed 'no dedicated website for online booking — contact via phone, email or social media'; email Tattoosbyemilylynch@gmail.com shown in Facebook search snippet",Bespoke dotwork artist managing enquiries and deposits through DMs; a portfolio site with enquiry/booking form filters time-wasters and captures deposit payments,sole trader,https://www.facebook.com/emilylynchtattoo/
Black and Brass Tattoo Collective,South England & Scotland — Beauty & Wellness,Tattoo studio,"Plymouth, Devon",Blackandbrasstattoo@gmail.com,,Facebook page + Instagram (@blackandbrasstattoo) only; no website found,Website search found only social media presence — 'no dedicated website with online booking functionality'; email Blackandbrasstattoo@gmail.com shown in Facebook search snippet,Multi-artist studio (collective) with premises — needs artist portfolio pages and booking/deposit handling that Instagram cannot provide,unknown,https://www.facebook.com/blackandbrasstattoo/
Ruff 'n' Ready Dog Groomers,South England & Scotland — Beauty & Wellness,Dog grooming,"Milestone Business Park, London Road, Whimple, Exeter EX5 2QB",Samanthaj.king68@gmail.com,+44 7702 872840,Facebook page + Cylex/FindOpen directory listings; no own website,Website search confirmed 'didn't find a dedicated website — primary online presence is Facebook and business directories'; email Samanthaj.king68@gmail.com shown in Facebook search snippet,Established salon on a business park with strong reviews and repeat-booking model; a site with online booking fills the diary without phone tag,sole trader,https://www.facebook.com/p/Ruff-n-Ready-100063535124659/
First Class Turkish Barbers,South England & Scotland — Beauty & Wellness,Barber,"229 Shinfield Road, Reading RG2 8HD",turkish.barbers.rg28hd@gmail.com,07456 453559,Free UENI builder page (firstclass-turkish-barber-reading.ueniweb.com) + Facebook + Fresha listing; no own domain,Only web presence is a free ueniweb.com subdomain and Fresha; 4.9/5 from 65 verified reviews; email turkish.barbers.rg28hd@gmail.com shown in Facebook search snippet,Highly rated 7-day-a-week shop stuck on a free-builder subdomain — a proper domain and booking site is a clear upgrade they already tried to solve cheaply,unknown,https://www.facebook.com/FirstClassTurkishBarberRDG/
Southsea Fitness - Personal Training,South England & Scotland — Beauty & Wellness,Personal trainer,"Southsea, Portsmouth",southseafitnesspt@gmail.com,+44 7809 362453,Facebook page only; no website (personaltrainersouthsea.co.uk is a different competing business),Website search returned only the Facebook page; direct local competitor Personal Trainer Southsea has its own site and award publicity; email southseafitnesspt@gmail.com shown in Facebook search snippet,"Level 3 PT selling 1:1, group and online packages — losing search traffic to a near-identically named competitor with a website; needs own site to compete and take bookings/payments",sole trader,https://www.facebook.com/Southseafitness/
