name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url,notes
Greystones Plumbing & Heating Ltd,North England — Trades,Plumber / heating engineer,"Sheffield S11, South Yorkshire",greystonesplumbingandheating@gmail.com,07879 818464,"Facebook page plus directory listings (Yell, Cylex, 192.com); registered ltd company with no own website found","Companies House-registered ltd (no. 10940030) trading since 2017 across plumbing, heating and gas, still with no standalone website",An 8-year-old limited company doing gas work has the revenue and the compliance mindset (Gas Safe) to invest in a professional site that consolidates its scattered directory presence,ltd company,https://sheffield.cylex-uk.co.uk/company/greystones-plumbing---heating-ltd-26322539.html,
JMH Painting & Decorating,North England — Trades,Painter and decorator,"Liverpool, Merseyside",Joss1988.liverpool@gmail.com,+44 7368 386172,Facebook page only; contact is a personal gmail address,Fully qualified decorator with 15+ years' experience whose only online presence is a Facebook page and a personal-style email,Decorating sells on finish-quality photos; a portfolio site plus a branded email would let 15 years of experience command better-paying domestic and commercial work,sole trader,https://www.facebook.com/JMHpainting/,
A.S Plaster Experts,North England — Trades,Plasterer,"South Manchester, Greater Manchester",Angelo.shepherd46@gmail.com,,Facebook page only; no website found in searches,"10 years' experience, marketed as clean and reliable, but reachable only via Facebook and a personal gmail address",South Manchester (Didsbury/Chorlton belt) is an affluent renovation market where competitors with websites take the skim-and-render work; a simple site levels the field,sole trader,https://www.facebook.com/A.S.PlasterExperts/,
I.S.G Painter and Decorator,North England — Trades,Painter and decorator,Newcastle upon Tyne,iansg85@gmail.com,+44 7542 663692,Facebook page only; no website found,Time-served tradesman (Ian Stuart Gordon) with Facebook page as sole online presence,A low-cost one-page site with photos and reviews would keep his diary full outside word-of-mouth season; decorators with sites win the landlord and new-build touch-up contracts,sole trader,https://www.facebook.com/IanStuartGordon/,
DC Joinery & Property Maintenance LTD,North England — Trades,Joiner / property maintenance,"Leeds, West Yorkshire",DCJoinery94@gmail.com,+44 7581 731833,Facebook page only; no website found,Trading as a limited company covering joinery and property maintenance with no site and a gmail contact,"Property maintenance contracts (letting agents, landlords) require a credible web presence to get on approved-supplier lists; the ltd structure signals ambition beyond odd jobs",ltd company,https://www.facebook.com/DCJoinery19/,
North Leeds Joinery,North England — Trades,Joiner / carpenter,"Chapel Allerton, Leeds, West Yorkshire",madeinchapelallerton@gmail.com,+44 7928 935022,Facebook page only; no website found,Carpenter with a strong local brand ('Made in Chapel Allerton') but no website to own it; area-name business name is wasted without search presence,"Chapel Allerton/North Leeds is an affluent suburb where bespoke joinery (alcove units, wardrobes) commands premium prices; a portfolio site converts that demand directly",sole trader,https://www.facebook.com/NorthLeedsJoinery/,
BMT Building & Joinery,North England — Trades,Builder / joiner,"Wakefield and Leeds, West Yorkshire",Bmtbuildingjoinery@gmail.com,+44 7944 883136,Facebook page only; no website found,Covers building and joinery across the Leeds and Wakefield area with only a Facebook page and gmail address,"Building work (extensions, refurbs) involves five-figure quotes where homeowners vet firms online first; lacking a website loses jobs at the shortlist stage",unknown,https://www.facebook.com/BMTjoinery/,
M.S Plumbing and Heating,North England — Trades,Plumber / heating engineer,Newcastle upon Tyne,msplumb20@gmail.com,+44 7738 352575,"Facebook page only (Hastings Drive, Newcastle); no website found",Local plumbing and heating trader whose entire discoverable presence is a Facebook page,"Emergency plumbing and boiler callouts come from Google searches, not Facebook; a mobile-first site with click-to-call directly generates billable callouts",sole trader,https://www.facebook.com/msplumbing7/,
RM Landscaping Services,North England — Trades,Landscaper,"Manchester, Greater Manchester",rmlandscapeservices2020@gmail.com,+44 7935 886776,Facebook page only; no website found,Manchester landscaping firm (trading since ~2020 per email handle) with no web presence beyond Facebook,"Landscaping quotes in Greater Manchester routinely run into thousands; a before/after portfolio site plus seasonal SEO (decking, patios, turfing) captures buyers who never open Facebook",unknown,https://www.facebook.com/RMlandscapingservices/,
Café Fame,Scotland/Wales/NI — Hospitality,Café / wine bar,"127 Hope Street, Glasgow, Scotland",Cafefameglasgow@gmail.com,,"Facebook and Instagram only, plus auto-generated menu-directory pages (mymenuweb.com, sluurpy); no own website found",Italian-style café/wine bar on a prime city-centre street with no site of its own; menu only visible via third-party scraped directories,City-centre café/wine bar competing for lunch and after-work trade; a site with menu and booking would capture customers currently found only via scraped directory pages,unknown,https://www.facebook.com/cafefameglasgow/,
Café Swiss,Scotland/Wales/NI — Hospitality,Café,"311 Byres Road, Glasgow, Scotland",cafeswiss1@gmail.com,+44 141 357 2525,No own website; contact details appear only on third-party pages such as the fetesuzette.com Glasgow travel guide,"Long-standing West End café whose email/phone are only discoverable via a travel blog; no site, no online menu",Byres Road has heavy student/tourist footfall; even a simple menu-and-hours site would win business currently going to neighbouring cafés with web presence,unknown,https://fetesuzette.com/glasgow/,
Cloud Cafe Glasgow,Scotland/Wales/NI — Hospitality,Café,"Glasgow, Scotland",cloudcafeglasgow@gmail.com,,Facebook and Instagram only (self-described 'Glasgow most hidden cafe'); listed on restaurantguru.com; no own website,Describes itself as hidden; discoverability relies entirely on social media and scraped directory listings,A 'hidden' café with only ~2k Instagram followers needs basic SEO presence (site + Google Business link) to convert searches into visits,unknown,https://www.facebook.com/p/Cloud-cafe-Glasgow-100092179873102/,
E-Street Café,Scotland/Wales/NI — Hospitality,Café / brunch restaurant,"421 Clarkston Road, Glasgow (Southside), Scotland",estreetglasgow@gmail.com,+44 141 633 2413,"Facebook page plus auto-generated microsites (wheree.com, goto-where.com, com-fnb.com) and Tripadvisor; no own website","Rated 4.9 and ranked #16 of 2,260 Glasgow restaurants on Tripadvisor yet has no site of its own — its 'websites' are scraped third-party templates","Exceptional reviews and only seven tables — a proper site with menu, hours and walk-in/waitlist info would convert its Tripadvisor reputation into direct trade",unknown,https://estreet-caf.wheree.com/,
HUG Café,Scotland/Wales/NI — Hospitality,Café / bar and music space,"17 Skirving Street, Shawlands, Glasgow, Scotland",grouphugglasgow@gmail.com,+44 141 632 3466,Facebook and whatsonglasgow.co.uk listing; the domain cafehug.co.uk that appears in search results no longer resolves (DNS failure),Independent family-run café/bar/art venue whose former website domain is dead; contact email only visible on a listings site,"Runs events, art and music nights that need a live listings page; a dead domain means lost search traffic they previously had",unknown,https://www.whatsonglasgow.co.uk/listings/hug-cafe/,
Toast Cafe @ Lindos,Scotland/Wales/NI — Hospitality,Café / takeaway,"419 Gallowgate, Glasgow, Scotland",toastcafeglasgow@gmail.com,,"Facebook page plus a white-label online-ordering microsite (toastcafeglasgow.co.uk, Foodhub-style template); also sells via Just Eat and Foodhub","Own 'website' is a templated ordering portal; significant order volume flows through Just Eat/Foodhub, which charge commission on every order","Every Just Eat order costs commission; a branded site with direct ordering has a clear, quantifiable payback for a busy takeaway café",unknown,https://m.facebook.com/Toastcafeglasgow/about/,
Hatch,Scotland/Wales/NI — Hospitality,"Café (coffee, brunch, burgers)","127 Falls Road, Belfast, Northern Ireland",hatchbelfast@gmail.com,,Instagram (@belfasthatch) and a listing on the visitwestbelfast.com tourism directory; no own website,Seven-day café on a busy tourist route (Falls Road murals) whose only bookable/contactable presence is a directory microsite and Instagram,Falls Road tourist footfall searches 'brunch near me' — without a site they lose that traffic to aggregators and competitors,unknown,https://visitwestbelfast.com/cafes/,
The Laurel Leaf (Bistro 155),Scotland/Wales/NI — Hospitality,Pub / sports bar with bistro,"Twin Spires Centre, 155 Northumberland Street, Belfast, Northern Ireland",thelaurelleafbelfast@gmail.com,028 9024 3701,"Directory listings only (visitwestbelfast.com, Yelp, Pubs Galore, Fanzo, Tripadvisor); no own website","Pub with bistro, beer garden and private-function trade since 2015, yet function enquiries rely on phone or a directory-listed Gmail",Private functions and match-day food bookings are high-value; a site with function-room enquiry form and menus directly drives that revenue,unknown,https://visitwestbelfast.com/pubsandclubs/,
Roseneath Guest House,Scotland/Wales/NI — Hospitality,Guest house / B&B,"Dalriach Road, Oban, Argyll, Scotland",info@roseneathoban.com,,"Former domain roseneathoban.com is expired/hijacked — it now serves unrelated content ('Just Fish Cafe', dental pages); live presence is the explore-oban.com directory listing","Their own domain has been taken over by junk content while the guest house is still trading via directory listings — an urgent, visible web problem","Oban is a high-demand tourist hub; without a working site all bookings flow through commission OTAs, and the hijacked domain actively damages their brand",sole trader,https://www.explore-oban.com/accommodation/b-and-bs-and-guest-hosues/roseneath-guest-house/,
Cameron House,Scotland/Wales/NI — Hospitality,Guest house / B&B,"Strathaven Terrace, Breadalbane Street, Oban, Argyll, Scotland",cameronguesthouse@googlemail.com,07922 192914,Free Weebly site (cameron-house.weebly.com) plus explore-oban.com directory listing,Only web presence beyond directories is a free-builder Weebly subdomain with no booking engine or own domain,Oban guest houses pay 15%+ OTA commission per booking; a proper domain with direct booking pays for itself within a season,sole trader,https://www.explore-oban.com/accommodation/b-and-bs-and-guest-hosues/,
Home Cookin' Restaurant,Scotland/Wales/NI — Hospitality,Restaurant,"139 Upper Mostyn Street, Llandudno, Conwy, Wales",homecookinllandudno@aol.com,,Facebook page and top100attractions.com directory listing; no own website (email also publicised via their X/Twitter account),Trading 30+ years in a major seaside resort with no website; even job ads are run through Facebook/X using an AOL address,Llandudno's tourist trade searches online before dining; an established 30-year restaurant has the revenue and the clearest gap to fill,unknown,https://top100attractions.com/attractions/item/home-cookin-restaurant,
Caffi Maes - Bar Bach,Scotland/Wales/NI — Hospitality,Café / bar,"Caernarfon, Gwynedd, Wales",caffimaes@googlemail.com,01286 673111,Instagram (@caffimaescaernarfon) and a welcometocaernarfon.com directory microsite; no own website,Café/bar on Caernarfon's castle square with only a tourism-directory listing and Instagram; no menu or hours online under its own name,Sits beside a UNESCO castle drawing huge tourist volumes; a bilingual (Welsh/English) site would capture visitor searches it currently misses,unknown,https://www.instagram.com/caffimaescaernarfon/,
Eastern Origin Restaurant,Scotland/Wales/NI — Hospitality,Chinese restaurant,"9 High Street, Bangor, Gwynedd, Wales",easternoriginrestaurant@gmail.com,01248 361878,Free Wix subdomain site (easternoriginresta.wixsite.com) plus welcometocaernarfon.com directory listing,"An incorporated restaurant (Eastern Origin Restaurant Ltd, Companies House 04980379) whose only site is a free wixsite.com subdomain — no own domain, weak SEO",Takeaway/dine-in Chinese restaurants lose margin to ordering platforms; an own-domain site with online ordering is a direct revenue upgrade from the free Wix page,ltd company,https://easternoriginresta.wixsite.com/website/contact,
Sleepy Puffin,Scotland/Wales/NI — Hospitality,Guest house / B&B,"14 Deer Park, Tenby, Pembrokeshire, Wales",info@sleepypuffin.co.uk,01834 844486,"Own WordPress site (sleepypuffin.co.uk) that still contains unedited theme demo content (placeholder 'personnel' page for 'Saul Goodman', dummy portfolio entries)",Half-built DIY site with template dummy pages live in production — clearly abandoned mid-setup and unprofessional to potential guests,They already tried to build a site (demonstrated intent) but couldn't finish it; Tenby's seasonal demand makes direct bookings valuable,sole trader,https://www.sleepypuffin.co.uk/contact-us/,
Tenby House Hotel,Scotland/Wales/NI — Hospitality,Pub / small hotel,"Tenby, Pembrokeshire, Wales",email@tenbyhouse.net,,Own site tenbyhousehotel.com but visibly dated 2000s-style with a keyword-stuffed page title hundreds of characters long; also listed on Booking.com and OTA scraper sites,"The site's SEO-spam-era title tag ('Pembrokeshire pub, Pembrokeshire hotel | Tenby pub | bar meals Tenby | real ales Tenby...') marks a site untouched for many years","16-bedroom hotel with pub, beach bar and events (registered as Tenby House Hotel Limited, 05362662) — room bookings leaking to Booking.com commission justify a modern direct-booking site",ltd company,https://www.tenbyhousehotel.com/,
Dromard House B&B,Scotland/Wales/NI — Hospitality,B&B / guest house,"127 Belfast Road, Enniskillen, Co Fermanagh, Northern Ireland",dromardhouse@yahoo.co.uk,+44 28 6638 7250,"Facebook page plus directory listings (discovernorthernireland.com, fermanaghlakelands.com) and Booking.com; no own website found","4-star serviced rooms and a self-catering suite marketed only via tourism directories, Facebook and commission OTAs",Established 4-star B&B with strong reviews paying Booking.com commission on most reservations; direct-booking site has an obvious ROI story,sole trader,https://discovernorthernireland.com/accommodation/dromard-house-p678071,RE-VERIFY source before contact
Bonnieview B&B,Scotland/Wales/NI — Hospitality,B&B,"69 Ardlougher Road, Irvinestown, Co Fermanagh, Northern Ireland",elizabethmcintosh1@btinternet.com,,"Directory listings only (top100attractions.com, discovernorthernireland.com); no own website",Country B&B just off the Enniskillen–Kesh road contactable only via a personal btinternet address shown on tourism directories,Fermanagh Lakelands tourism is growing; without a site the B&B is invisible outside directory pages and loses direct bookings to OTA-listed rivals,sole trader,https://top100attractions.com/attractions/item/bonnieview-b-b,
Tilery Bed and Breakfast,Scotland/Wales/NI — Hospitality,B&B,"134 Swanlinbar Road, Florencecourt, Enniskillen, Co Fermanagh, Northern Ireland",clairestranney@gmail.com,,"Directory listings only (discovernorthernireland.com, fermanaghlakelands.com, whatsonni.com, trivago); no own website found",Classic country-home B&B near Cuilcagh Geopark with no independent web presence; bookings depend on directories and OTAs,Cuilcagh boardwalk ('Stairway to Heaven') drives major visitor searches to this exact area; a simple booking site would capture that intent directly,sole trader,https://discovernorthernireland.com/accommodation/tilery-bed-and-breakfast-p707651,
Ty Newydd Guest House,Scotland/Wales/NI — Hospitality,Guest house / B&B,"Trefriw, near Llanrwst, Conwy, Wales",tynewyddtrefriw@aol.com,01492 641210,"Directory listings only (visitwales.com, visitconwy.org.uk); no own website found",Large Victorian guest house in the Conwy valley contactable only via an AOL address on tourism-board listings,Snowdonia/Eryri visitor demand is strong year-round; without a site they cannot take direct bookings at all and depend wholly on directories,sole trader,https://www.visitwales.com/accommodation/guest-house/ty-newydd-guest-house-569361,
Sefton Court Guest House,Scotland/Wales/NI — Hospitality,Guest house / B&B (10 rooms),"49 Church Walks, Llandudno, Conwy, Wales",info@seftoncourt-hotel.co.uk,,"Own legacy static-HTML site (hand-built pages like room4.html, guest-book.html, contact.php); actively sells via Booking.com and Tripadvisor",Site structure is old hand-coded static HTML with per-room .html pages — a pre-modern build — while guest reviews and bookings accumulate on commission platforms instead,Family-run for 20+ years with 8.9 Booking.com score and 4.5 Tripadvisor rating; shifting even a fraction of OTA bookings to a modern direct-booking site saves significant commission,sole trader,https://www.seftoncourt-hotel.co.uk/contact.php,
Lash Lab,Midlands — Beauty & Wellness,Beauty - eyelash extensions,"Birmingham, West Midlands",Lashhlab@gmail.com,,Facebook page (facebook.com/LashhLab) and Instagram (@__lashlab) only; no website found,"Fully qualified and insured lash technician taking bookings solely through social media DMs and email; no site to showcase pricing, portfolio or take online bookings","Lash appointments are repeat, booking-driven revenue; a simple site with online booking and a gallery would convert Instagram browsers into scheduled clients and reduce no-shows",sole trader,https://www.facebook.com/LashhLab/,
London Road Tattoo Studio,Midlands — Beauty & Wellness,Tattoo studio,"245 London Road, Stoke-on-Trent, Staffordshire",Londonroadtattoostoke@hotmail.com,01782 461617,"Facebook page (facebook.com/Londonroadtattoostoke), a Booksy booking subdomain (Londonroadtattoostudio.booksy.net) and directory listings; no own website",Established walk-in studio relying on Facebook and a third-party Booksy page; directory listings (stoke-on-trent.city-advisor.uk) fill the gap where an official site should be,Tattoo clients research artists' portfolios before booking; a portfolio site with deposit-taking would capture higher-value custom work instead of losing searchers to competitors with websites,unknown,https://www.facebook.com/Londonroadtattoostoke/,
Gemma Hawkins Tattoo,Midlands — Beauty & Wellness,Tattoo studio (private),"Longton, Stoke-on-Trent, Staffordshire",gemmahawkinstattoo@gmail.com,,Instagram and Facebook (facebook.com/Gemmahawkinstattoo) only; bookings taken by email only,"Publicly states bookings are by email only with work viewable on Instagram/Facebook; no website, no online booking or enquiry form","A private studio artist managing bookings through an inbox loses enquiries; a site with a portfolio, waitlist form and deposit payments directly monetises demand she already has",sole trader,https://www.facebook.com/Gemmahawkinstattoo/,
Juxtapose Body Piercing,Midlands — Beauty & Wellness,Body piercing,"29 Regent Street, Hinckley, Leicestershire",juxtapose-piercings@hotmail.com,,Facebook page (facebook.com/Juxtaposepiercings) only; no website found,100% recommend rating from 110 Facebook reviews but no site to surface that reputation in Google searches for 'piercing Hinckley'; all contact via Facebook/hotmail,"Piercing is appointment- and trust-driven (hygiene, licensing); a site displaying licensing, aftercare info and online booking would convert the strong review base into more bookings",sole trader,https://www.facebook.com/Juxtaposepiercings/,
Missy Nails & Spa,Midlands — Beauty & Wellness,Nail salon,"6 Cross Cheaping, Coventry CV1 1HG, West Midlands",missynailsspa.uk@gmail.com,,Facebook page and Instagram (@missynailsspa.uk) only; no website found,City-centre salon branding itself 'The Best Nail Salon in Coventry' with no website or online booking; discoverable only via social media,High-footfall city-centre location competing with salons on Treatwell/Fresha; a booking-enabled site would capture walk-in overflow and lunchtime bookers searching Google,unknown,https://www.facebook.com/p/Missy-Nails-Spa-100063958878724/,
Wesley's Wash & Wag,Midlands — Beauty & Wellness,Dog grooming,"Birmingham, West Midlands",wesleyswashwag@gmail.com,,Facebook (facebook.com/wesleyswashwag) and Instagram (@wesleyswashwag) only; no website,"City & Guilds qualified, canine first aid trained and insured, but those trust credentials live only in a Facebook 'about' box; no site, prices page or booking system",Grooming runs on 6-8 week repeat bookings; an online booking site with reminder emails locks in recurring revenue and wins 'dog groomer near me' searches Facebook pages rarely rank for,sole trader,https://www.facebook.com/wesleyswashwag/,
Dog Grooming by Hayley,Midlands — Beauty & Wellness,Dog grooming,"Derby, Derbyshire",doggroomingbyhayley@gmail.com,,Facebook page (facebook.com/doggroomingbyhayley) only; no website found,"Sole-operator groomer whose entire online presence is one Facebook page; no price list, service pages or booking outside Messenger","One-person groomers lose chair time answering Messenger enquiries; a simple site with services, prices and self-serve booking pays for itself in recovered admin hours and steady repeat slots",sole trader,https://www.facebook.com/doggroomingbyhayley/,
Pure Beauty (Penn),Midlands — Beauty & Wellness,Beauty salon / aesthetics,"193 Coalway Road, Penn, Wolverhampton, West Midlands",purebeautypenn@gmail.com,01902 238298,"Facebook (facebook.com/PureBeautyPenn) and Instagram (@purebeautypenn); the similarly named purebeautywolverhampton.co.uk domain no longer resolves (DNS failure on fetch), so no working website","Active salon reachable only via social media and phone; the .co.uk domain indexed by Google for the business fails to load, meaning searchers hit a dead link","A salon whose indexed website is dead is actively leaking bookings; rebuilding a working site with treatment menu and online booking is an easy, demonstrable fix",unknown,https://www.facebook.com/PureBeautyPenn/,
MK Dog Grooming,Midlands — Beauty & Wellness,Dog grooming,"277 Alcester Road, Kings Heath, Birmingham, West Midlands",mkgroomingsalon@gmail.com,0121 443 5910,Facebook page and Instagram (@mk.doggrooming) only; no dedicated website found in searches,"100% recommendation rating from 36 Facebook reviews and a fixed high-street salon, yet zero web presence beyond social media and third-party directories (pata.pet, thomsonlocal)",Established salon with phone-only booking; an online booking site would fill quiet weekday slots and defend against nearby groomers who rank on Google with proper sites,unknown,https://www.facebook.com/p/MK-Dog-Grooming-100063560112774/,
Five Star Nails,Midlands — Beauty & Wellness,Nail salon,"4 Kings Walk, Nottingham NG1 2AE, Nottinghamshire",fivestarnailsnott@gmail.com,07490 484104,Facebook page (facebook.com/fivestarnailsnott) plus a Fresha marketplace listing; no standalone website,City-centre salon promoting itself via Facebook videos and asking clients to 'text me' to book; booking depends on Fresha's marketplace where competitors are listed alongside,Currently pays the Fresha discovery tax and loses brand searches; an owned site with direct booking keeps client relationships (and rebooking) in-house,unknown,https://www.facebook.com/fivestarnailsnott/,
Heart Nails & Spa,Midlands — Beauty & Wellness,Nail salon,"18 Albert Street, Nottingham NG1 7DA, Nottinghamshire",heartnailsspa@gmail.com,0115 958 3632,"Facebook, Instagram and a free Firebase-hosted page (heart-nails-spa-nottingham.web.app); no proper domain or booking system","A registered limited company (HEART NAILS & SPA LIMITED, no. 14940523) operating off a free .web.app subdomain, which signals they want a website but have only a free-builder placeholder",Already invested in incorporation and a free site attempt; upgrading to a real domain with online booking is the obvious next spend and they clearly understand the need,ltd company,https://www.facebook.com/heartnailsspanottingham/,
La Petite Nail Spa Arnold,Midlands — Beauty & Wellness,Nail salon,"10 Market Place, Arnold, Nottingham NG5 6ND, Nottinghamshire",Lapetitenailspaarnold@gmail.com,0115 920 0696,Facebook and Instagram (@la_petite_nail_spa_arnold) plus directory listings only; searches found no dedicated website,"5-star rated (19 reviews) limited company (LA PETITE NAIL SPA LTD, no. 14972205) whose booking channel is 'call us during business hours' per its own Facebook posts",Phone-only booking caps a busy salon's intake; as an incorporated business with strong reviews they have budget and a clear ROI case for 24/7 online booking,ltd company,https://www.facebook.com/lapetitenailspa/,
Trixi Nail Art,Midlands — Beauty & Wellness,Nail salon / nail technician,"136a Wollaton Road, Nottingham, Nottinghamshire",beatrix.kallai.uk@gmail.com,07749 143451,"Facebook page (facebook.com/TrixiNailArt) only, listing a personal Gmail as the business contact; no website","100% recommendation rating but bookings run through a personal mobile and personal email address; no service menu, prices or booking page anywhere","Solo technician with proven demand (manicure, pedicure, extensions, lashes); a low-cost site with booking would professionalise the brand and stop enquiries going to salons that look more established online",sole trader,https://www.facebook.com/TrixiNailArt/,
The Nail Beautique,Midlands — Beauty & Wellness,Nail salon,"33 Gordon Road, West Bridgford, Nottingham NG2 5LL, Nottinghamshire",thuyduongnguyen546@gmail.com,07502 955955,Facebook (facebook.com/TheNailBeautiqueNotts) and Instagram (@nottinghamnailbeautique) only; no website found,Salon in affluent West Bridgford advertising its address and mobile number in Facebook video captions as its only contact route; business email is a personal Gmail,West Bridgford clientele expect to book online; a branded site would let them compete with the several nearby salons already on Treatwell/Fresha and capture higher-spend BIAB/gel clients,unknown,https://www.facebook.com/TheNailBeautiqueNotts/,
Vivian's Nails Salon,Midlands — Beauty & Wellness,Nail salon,"404 Nuthall Road, Nottingham NG8 5DS, Nottinghamshire",max.vu0511@gmail.com,07361 132921,"Facebook page, Instagram (@vivian.nails.nuthallroad) and a Fresha listing; no own website (only a generic third-party appbooking link)",Registered limited company (VIVIAN'S NAILS SALON LIMITED / VIVIAN'S NAIL SALON LTD) whose public contact is a personal Gmail and mobile; walk-ins and phone are the booking channels,Incorporated salon on a busy arterial road; an owned site with booking and service pages would convert drive-past awareness into scheduled appointments rather than relying on walk-ins,ltd company,https://www.facebook.com/viviansnailssalon/,
St Johns Barbers Coventry,Midlands — Beauty & Wellness,Barbershop,"159 Hearsall Lane, Coventry CV5 6HG, West Midlands",stjohnsbarberscov@gmail.com,07867 980489,"Facebook page, Instagram (@st_johns_barbers_cov) and Fresha marketplace listings; no own website","Active limited company (ST JOHNS BARBERS COVENTRY LTD, no. 14533826) open 7 days, but discoverability rests on Fresha listings and a low-follower Facebook page",Seven-day operation means chair utilisation is the whole business; a site with direct booking would lift off-peak fill and stop paying marketplace commission on regulars,ltd company,https://www.facebook.com/p/St-Johns-Barbers-Coventry-100089781731373/,
