sku,style,aspect_ratio,resolution,prompt
AA-011,oil,4:5,2k,"Classical oil painting on canvas: three ruined Doric columns standing in a poppy meadow, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-012,oil,4:5,2k,"Classical oil painting on canvas: a single Ionic column with scrolled capital against a vast sky, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-013,oil,4:5,2k,"Classical oil painting on canvas: a Corinthian column overgrown with ivy beside a fallen capital, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-014,oil,4:5,2k,"Classical oil painting on canvas: a row of temple columns casting long shadows across marble paving, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-015,oil,4:5,2k,"Classical oil painting on canvas: two broken columns on a clifftop overlooking the sea, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-016,oil,4:5,2k,"Classical oil painting on canvas: a colonnade receding into golden haze, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-017,oil,4:5,2k,"Classical oil painting on canvas: a toppled column drum half-buried in wildflowers, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-018,oil,4:5,2k,"Classical oil painting on canvas: fluted columns framing a distant mountain, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-019,oil,4:5,2k,"Classical oil painting on canvas: a lone column reflected in a still pool, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-020,oil,4:5,2k,"Classical oil painting on canvas: weathered columns among olive trees at the edge of an escarpment, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-021,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: blue lotus flowers in full bloom among papyrus reeds, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-022,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a symmetrical frieze of lotus blossoms and closed buds, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-023,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: papyrus umbels bending over calm Nile water, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-024,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: alternating lotus and papyrus stems in temple-register rows, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-025,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a single monumental lotus flower with radiating petals, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-026,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: reed thickets with dragonflies and lotus pads, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-027,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a border pattern of lotus garlands and date palm fronds, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-028,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: papyrus stalks tied in ceremonial bundles, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-029,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: lotus flowers floating on rippled water with fish shadows beneath, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-030,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a dense botanical study of Nile marsh plants, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-031,engrave,4:5,2k,"Antique copperplate engraving: the three pyramids of Giza rising from windswept dunes, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-032,engrave,4:5,2k,"Antique copperplate engraving: a stepped pyramid with a caravan of camels passing in the distance, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-033,engrave,4:5,2k,"Antique copperplate engraving: a great pyramid with its ruined mortuary causeway, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-034,engrave,4:5,2k,"Antique copperplate engraving: two pyramids framed by date palms at an oasis, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-035,engrave,4:5,2k,"Antique copperplate engraving: a pyramid complex surveyed from a rocky escarpment, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-036,engrave,4:5,2k,"Antique copperplate engraving: the great pyramid with scattered fallen casing stones, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-037,engrave,4:5,2k,"Antique copperplate engraving: a bent pyramid under a vast empty sky, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-038,engrave,4:5,2k,"Antique copperplate engraving: pyramids beyond the Nile floodplain with feluccas on the river, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-039,engrave,4:5,2k,"Antique copperplate engraving: a pyramid field with small queen pyramids in the foreground, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-040,engrave,4:5,2k,"Antique copperplate engraving: the sphinx-less Giza plateau with survey markers and dunes, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-041,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a circular Roman floor mosaic medallion with geometric guilloche rings, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-042,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a mosaic panel of interlocking meander patterns in red and blue tesserae, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-043,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a radiating sunburst mosaic with concentric tessera rings, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-044,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a mosaic border fragment with wave crest scrolls, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-045,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: an octagonal mosaic panel with rosette center, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-046,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a chequerboard mosaic floor receding in perspective, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-047,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a knot-pattern mosaic emblem within a braided border, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-048,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a compass-rose mosaic with alternating dark and light rays, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-049,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a fragmentary mosaic with missing tesserae revealing plaster beneath, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-050,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a labyrinth-pattern mosaic panel from a villa threshold, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-051,engrave,4:5,2k,"Antique copperplate engraving: a megalithic standing stone carved with triple spirals, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-052,engrave,4:5,2k,"Antique copperplate engraving: a passage tomb entrance stone covered in spiral and chevron carvings, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-053,engrave,4:5,2k,"Antique copperplate engraving: a circle of weathered standing stones on a moor, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-054,engrave,4:5,2k,"Antique copperplate engraving: a carved kerbstone with concentric arcs and lozenges, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-055,engrave,4:5,2k,"Antique copperplate engraving: a solitary menhir against rolling hills, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-056,engrave,4:5,2k,"Antique copperplate engraving: a dolmen of three great stones capped by a slab, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-057,engrave,4:5,2k,"Antique copperplate engraving: a spiral-carved boulder half sunk in heather, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-058,engrave,4:5,2k,"Antique copperplate engraving: an avenue of paired standing stones receding to the horizon, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-059,engrave,4:5,2k,"Antique copperplate engraving: a recumbent stone circle with a massive altar stone, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-060,engrave,4:5,2k,"Antique copperplate engraving: a carved stone basin within a chambered cairn, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-061,engrave,4:5,2k,"Antique copperplate engraving: a cuneiform clay tablet with dense wedge-shaped writing, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-062,engrave,4:5,2k,"Antique copperplate engraving: a runestone carved with a serpentine rune band, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-063,engrave,4:5,2k,"Antique copperplate engraving: a fragmentary stone stela with weathered inscription rows, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-064,engrave,4:5,2k,"Antique copperplate engraving: a cylinder seal beside its rolled clay impression, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-065,engrave,4:5,2k,"Antique copperplate engraving: a scribal exercise tablet with practice wedges, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-066,engrave,4:5,2k,"Antique copperplate engraving: a boundary stone covered in archaic pictographs, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-067,engrave,4:5,2k,"Antique copperplate engraving: a broken tablet pieced together showing ledger columns, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-068,engrave,4:5,2k,"Antique copperplate engraving: a tall runestone in a birch clearing, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-069,engrave,4:5,2k,"Antique copperplate engraving: a clay envelope tablet with seal impressions, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-070,engrave,4:5,2k,"Antique copperplate engraving: an ostracon pottery shard with ink markings, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-071,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a laurel victory wreath tied with ribbon, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-072,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: an olive branch crown with silvery leaves and small fruits, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-073,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a laurel wreath encircling a radiant sun disk, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-074,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: two crossed palm fronds beneath a laurel garland, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-075,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: an ivy wreath with berries and trailing tendrils, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-076,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a wheat-sheaf crown bound with cord, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-077,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a laurel wreath around a crescent moon, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-078,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a myrtle wreath with delicate white blossoms, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-079,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: an oak-leaf civic crown with acorns, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-080,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a laurel garland draped over a marble ledge, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-081,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: stacked horizontal bands of Greek key, wave scroll and palmette ornament, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-082,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a pattern sampler of chevrons, checkers and running spirals, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-083,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: alternating friezes of meander and lotus bud ornament, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-084,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a column of border patterns from Attic pottery, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-085,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: bands of zigzag, dot rosette and triangle ray ornament, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-086,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a wall of painted ornament registers in earth pigments, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-087,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: egg-and-dart moulding above bead-and-reel bands, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-088,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a sampler of guilloche braid and astragal patterns, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-089,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: graduated bands of palmette, anthemion and scroll ornament, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-090,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a decorative program of nested geometric borders, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-091,engrave,4:5,2k,"Antique copperplate engraving: a circular classical labyrinth with a single winding path, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-092,engrave,4:5,2k,"Antique copperplate engraving: a square Roman labyrinth pattern with battlemented walls, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-093,engrave,4:5,2k,"Antique copperplate engraving: the seven-course Cretan labyrinth design, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-094,engrave,4:5,2k,"Antique copperplate engraving: a labyrinth carved into a stone slab, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-095,engrave,4:5,2k,"Antique copperplate engraving: an eleven-circuit medieval-style labyrinth rendered as a plan, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-096,engrave,4:5,2k,"Antique copperplate engraving: a coin-style labyrinth emblem with dense concentric walls, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-097,engrave,4:5,2k,"Antique copperplate engraving: a turf labyrinth seen from above on a hillside, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-098,engrave,4:5,2k,"Antique copperplate engraving: a labyrinth mosaic plan with a central rosette, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-099,engrave,4:5,2k,"Antique copperplate engraving: a spiral labyrinth cut into coastal rock, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-100,engrave,4:5,2k,"Antique copperplate engraving: an architectural survey drawing of a palace labyrinth, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-101,oil,4:5,2k,"Classical oil painting on canvas: a great ziggurat rising in stepped tiers above a river plain, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-102,oil,4:5,2k,"Classical oil painting on canvas: a ziggurat under a crescent moon with torch-lit stairways, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-103,oil,4:5,2k,"Classical oil painting on canvas: the ruined core of a ziggurat catching low sun, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
